,i_p_i,e_i,end_node,edge_progress,x,y,oneway,length,u,v,plate,longitude,latitude,timestamp,velocity,dis_f_pre
0,303426.0,15539,0,0.1,114.122521,22.562002,False,98.745,1906994248,1983027107,粤B2BB25,114.122597,22.561399,2014-07-07 20:48:25,4,108.23452028496605
1,303448.0,15540,0,0.6,114.122275,22.563168,False,218.994,1906994248,2081275108,粤B2BB25,114.1231,22.563299,2014-07-07 20:48:55,0,217.4926252647297
2,303447.0,15540,0,0.55,114.122287,22.56307,False,218.994,1906994248,2081275108,粤B2BB25,114.122704,22.563101,2014-07-07 20:48:59,3,46.240629063654225
3,303454.0,15540,0,0.9,114.1222,22.563755,False,218.994,1906994248,2081275108,粤B2BB25,114.122002,22.5637,2014-07-07 20:49:29,10,98.14498222433649
4,1270652.0,65566,1,0.0,114.118603,22.563869,True,159.496,2081275106,6798161706,粤B2BB25,114.119003,22.563601,2014-07-07 20:49:59,2,308.14458246141106
5,1247337.0,64494,1,0.0,114.118581,22.565631,False,74.053,6798161705,6798161712,粤B2BB25,114.1185,22.565701,2014-07-07 20:50:46,13,239.15356921465508
6,1247399.0,64501,0,0.09523809523809523,114.119479,22.565793,False,222.79000000000005,6798161712,6798161716,粤B2BB25,114.119598,22.565701,2014-07-07 20:51:16,6,112.74483193355695
7,1247401.0,64501,0,0.19047619047619047,114.119643,22.565904,False,222.79000000000005,6798161712,6798161716,粤B2BB25,114.120598,22.565399,2014-07-07 20:51:46,1,108.03375980712718
8,1247403.0,64501,0,0.2857142857142857,114.119748,22.566072,False,222.79000000000005,6798161712,6798161716,粤B2BB25,114.120697,22.565599,2014-07-07 20:52:16,0,24.4522368355468
9,1247403.0,64501,0,0.2857142857142857,114.119748,22.566072,False,222.79000000000005,6798161712,6798161716,粤B2BB25,114.120697,22.565599,2014-07-07 20:52:31,0,0.0
10,960604.0,49801,0,0.6,114.121168,22.566923,False,106.813,2081768537,6798161716,粤B2BB25,114.121201,22.566799,2014-07-07 20:55:26,6,143.11841202506562
11,960563.0,49799,0,0.17647058823529413,114.122378,22.567078,False,348.009,2081768537,2081768538,粤B2BB25,114.122398,22.567101,2014-07-07 20:55:56,0,127.41412057984094
12,960568.0,49799,0,0.3235294117647059,114.122873,22.567129,False,348.009,2081768537,2081768538,粤B2BB25,114.122902,22.566999,2014-07-07 20:56:26,11,52.979499833437956
13,960674.0,49804,0,0.8484848484848485,114.124803,22.56457,True,371.02599999999995,2081768538,2081275109,粤B2BB25,114.124802,22.5646,2014-07-07 20:57:48,10,330.4869282497675
14,960676.0,49804,0,0.9090909090909091,114.124758,22.564372,True,371.02599999999995,2081768538,2081275109,粤B2BB25,114.124702,22.5644,2014-07-07 20:58:18,0,24.495134111762574
15,1270859.0,65574,0,0.5263157894736842,114.124662,22.563089,True,210.92,2081275109,1911011041,粤B2BB25,114.124702,22.563101,2014-07-07 20:58:48,14,144.4424092233208
16,1246412.0,64435,0,0.68,114.124941,22.560474,True,282.738,1911011041,3924653916,粤B2BB25,114.125,22.560499,2014-07-07 20:59:18,22,290.9432640194225
17,1302306.0,67112,0,0.16666666666666666,114.119713,22.555476,True,263.822,2921843218,3068084275,粤B2BB25,114.119698,22.5555,2014-07-07 21:00:25,32,778.081742764489
18,190200.0,9487,0,0.18181818181818182,114.118947,22.554029,True,242.307,348405004,348394489,粤B2BB25,114.119003,22.554001,2014-07-07 21:00:55,0,181.3182975983574
19,47003.0,2311,0,0.35714285714285715,114.116534,22.548738,True,159.04,2623148598,348402222,粤B2BB25,114.116699,22.5488,2014-07-07 21:04:35,0,624.8534993021711
20,47007.0,2311,0,0.6428571428571429,114.116631,22.54834,True,159.04,2623148598,348402222,粤B2BB25,114.116798,22.548401,2014-07-07 21:05:05,6,45.51680569958314
21,398380.0,20605,0,0.4,114.117,22.546813,True,54.711999999999996,3583676837,2278166416,粤B2BB25,114.117104,22.546801,2014-07-07 21:05:35,3,180.66611293615105
22,398431.0,20609,0,0.48,114.117403,22.544776,True,279.94300000000004,3583676844,2881809583,粤B2BB25,114.117401,22.5448,2014-07-07 21:07:15,0,224.58219284180248
23,398431.0,20609,0,0.48,114.117403,22.544776,True,279.94300000000004,3583676844,2881809583,粤B2BB25,114.117401,22.5448,2014-07-07 21:07:45,0,0.0
24,398441.0,20609,0,0.88,114.117829,22.543859,True,279.94300000000004,3583676844,2881809583,粤B2BB25,114.117798,22.5439,2014-07-07 21:08:15,14,108.06201773994594
25,704055.0,35938,0,0.5909090909090909,114.116752,22.54311,True,231.405,2881809583,2474735642,粤B2BB25,114.116798,22.542999,2014-07-07 21:08:57,2,143.4725847666057
26,867904.0,44820,0,0.5,114.11543,22.544736,False,48.205,5297349091,5162777247,粤B2BB25,114.115303,22.544701,2014-07-07 21:09:57,15,243.70011401205383
27,777594.0,40094,0,0.5714285714285714,114.115079,22.544885,False,72.846,7205748855,5297349091,粤B2BB25,114.115097,22.545,2014-07-07 21:10:27,4,39.407461813330976
28,867919.0,44822,0,0.3333333333333333,114.11528,22.545323,False,128.96,5297349091,2456776556,粤B2BB25,114.115097,22.5453,2014-07-07 21:10:49,11,33.35852406968999
29,1058231.0,54990,0,0.42857142857142855,114.115697,22.546175,True,140.755,2456776556,3583676841,粤B2BB25,114.115601,22.5467,2014-07-07 21:11:19,17,164.05219954736162
30,398427.0,20609,0,0.32,114.117312,22.545172,True,279.94300000000004,3583676844,2881809583,粤B2BB25,114.117302,22.5452,2014-07-07 21:11:49,19,241.5271333835334
31,887643.0,45829,0,0.16666666666666666,114.117943,22.543869,True,193.536,349120843,6080270288,粤B2BB25,114.117996,22.5439,2014-07-07 21:12:52,0,161.16909018242677
32,887643.0,45829,0,0.16666666666666666,114.117943,22.543869,True,193.536,349120843,6080270288,粤B2BB25,114.117996,22.5439,2014-07-07 21:13:22,0,0.0
33,703531.0,35902,0,0.1,114.119021,22.542459,True,105.238,2881809552,2881809548,粤B2BB25,114.119003,22.5425,2014-07-07 21:13:52,8,186.89388841878662
34,703538.0,35902,0,0.8,114.119575,22.542038,True,105.238,2881809552,2881809548,粤B2BB25,114.119499,22.542,2014-07-07 21:14:22,7,75.40464772698749
35,703459.0,35897,0,0.4,114.119877,22.54179,True,52.437,2881809548,5110321899,粤B2BB25,114.119904,22.5418,2014-07-07 21:15:34,4,47.16548955653696
36,999475.0,51819,0,0.7368421052631579,114.119119,22.540518,True,199.64999999999998,5110321899,5110321916,粤B2BB25,114.119102,22.54050100000001,2014-07-07 21:16:04,6,166.2759887667028
37,1377115.0,70858,0,0.625,114.114777,22.538856,True,251.91199999999998,3644842140,564716961,粤B2BB25,114.1147,22.5389,2014-07-07 21:17:49,16,485.87949416556205
